salesId,dateTime,carPlate,custId,employeeId,carPlate,carModel,acquirePrice,carStatus,salesPrice
A0001,2023-06-01T02:38:22Z,ABC123,C0005,E0007,ABC123,Honda Civic,90000,0,95000,
A0002,2023-06-02T10:40:15Z,XYZ789,C0012,E0010,XYZ789,Toyota Camry,120000,0,126000,
A0003,2023-06-05T18:47:22Z,MNO456,C0034,E0004,MNO456,Nissan Almera,80000,0,85600,
A0004,2023-06-06T20:49:35Z,PQR234,C0076,E0009,PQR234,Mazda 3,110000,0,115600,
A0005,2023-06-07T22:51:48Z,GHI567,C0045,E0012,GHI567,Ford Focus,100000,0,107620,
A0006,2023-06-09T00:54:01Z,JKL678,C0089,E0006,JKL678,Chevrolet Cruze,95000,0,99750,
A0007,2023-06-10T02:56:14Z,STU901,C0067,E0014,STU901,Kia Forte,85000,0,89500,
A0008,2023-06-13T09:02:53Z,VWX234,C0023,E0008,VWX234,Honda Accord,130000,0,147000,
A0009,2023-06-14T11:05:06Z,CDE345,C0056,E0011,CDE345,Mitsubishi Lancer,90000,0,95550,
A0010,2023-06-15T13:07:19Z,FGH456,C0098,E0005,FGH456,Nissan Sylphy,100000,0,105550,
A0011,2023-06-16T15:09:32Z,IJK567,C0078,E0015,IJK567,Mazda 6,140000,0,148800,
A0012,2023-06-17T17:11:45Z,LMO678,C0032,E0001,LMO678,Ford Fiesta,80000,0,85500,
A0013,2023-06-18T19:13:58Z,NOP789,C0006,E0013,NOP789,Chevrolet Malibu,120000,0,127000,
A0014,2023-06-22T01:20:37Z,QRS901,C0027,E0002,QRS901,Kia Optima,110000,0,113500,
A0015,2023-06-23T03:22:50Z,TUV012,C0065,E0003,TUV012,Honda City,85000,0,89150,
A0016,2023-06-24T05:25:03Z,WXY123,C0084,E0010,WXY123,Mitsubishi Attrage,75000,0,78050,
A0017,2023-06-26T09:29:29Z,ZAB234,C0091,E0004,ZAB234,Nissan Teana,130000,0,135400,
A0018,2023-06-27T11:31:42Z,CDF345,C0059,E0009,CDF345,Mazda CX-5,150000,0,159900,
A0019,2023-06-29T15:36:08Z,GHI456,C0028,E0012,GHI456,Ford Escape,140000,0,145670,
A0020,2023-06-30T20:49:35Z,JLM567,C0036,E0006,JLM567,Chevrolet Captiva,130000,0,137000,
A0021,2023-07-01T22:51:48Z,MNO678,C0044,E0014,MNO678,Ford Fiesta,80100,0,85000,
A0023,2023-07-04T02:56:14Z,RST901,C0017,E0011,RST901,Mitsubishi ASX 130000 0,136700,0,153000,
A0024,2023-07-05T04:58:27Z,ZBC234,C0090,E0005,ZBC234,Nissan X-Trail,150300,0,157000,
A0025,2023-07-07T09:02:53Z,FEG456,C0074,E0015,FEG456,Mazda CX-9,180400,0,198800,
A0026,2023-07-08T11:05:06Z,MNP7892,C0030,E0001,MNP7892,Honda City,92900,0,104000,
A0027,2023-07-09T13:07:19Z,QRT901,C0051,E0013,QRT901,Chevrolet Traverse,160600,0,168000,
A0028,2023-07-10T15:09:32Z,UVW012,C0025,E0002,UVW012,Kia Sorento,150700,0,154300,
A0029,2023-07-11T17:11:45Z,XYZ123,C0047,E0003,XYZ123,Honda Odyssey,160800,0,169000,
A0030,2023-07-13T21:16:11Z,BAC2343,C0063,E0010,BAC2343,Toyota Vios,93600,0,107000,
A0031,2023-07-14T23:18:24Z,DEF345,C0082,E0004,DEF345,Honda Civic,90100,0,96500,
A0032,2023-07-17T03:22:50Z,HJK456,C0094,E0009,HJK456,Toyota Camry,121100,0,126300,
A0033,2023-07-18T05:25:03Z,LNO567,C0072,E0012,LNO567,Nissan Almera,80100,0,83500,
A0034,2023-07-19T07:27:16Z,PQR678,C0038,E0006,PQR678,Mazda 3,111200,0,115500,
A0035,2023-07-20T09:29:29Z,STU789,C0053,E0014,STU789,Ford Focus,100300,0,105000,
A0036,2023-07-21T09:31:24Z,WXY901,C0029,E0008,WXY901,Chevrolet Cruze,95400,0,99750,
A0037,2023-07-22T11:33:37Z,ZDE012,C0061,E0011,ZDE012,Kia Forte,85500,0,89000,
A0038,2023-07-23T13:35:50Z,FGL123,C0086,E0005,FGL123,Honda Accord,130600,0,140000,
A0039,2023-07-24T15:38:03Z,JMO234,C0041,E0015,JMO234,Mitsubishi Lancer,90700,0,94500,
A0040,2023-07-26T19:42:29Z,NRS3454,C0057,E0001,NRS3454,Proton X50,94800,0,105500,
A0041,2023-07-27T21:44:42Z,TWX456,C0075,E0013,TWX456,Mazda 6,140900,0,147000,
A0042,2023-07-30T01:49:08Z,ZGH567,C0031,E0002,ZGH567,Kia Optima,111000,0,115500,
A0043,2023-07-31T03:51:21Z,BKL678,C0055,E0003,BKL678,Honda City,85100,0,89250,
A0044,2023-08-01T05:53:34Z,BFG678,C0077,E0010,BFG678,Kia Optima,110200,0,115500,
A0045,2023-08-02T07:55:47Z,DHI789,C0035,E0004,DHI789,Honda City,85200,0,89250,
A0046,2023-08-03T09:58:00Z,FJK9015,C0067,E0009,FJK9015,Nissan Almera,87900,0,91800,
A0047,2023-08-04T12:00:13Z,HLM012,C0092,E0012,HLM012,Mazda CX-5,150600,0,157500,
A0048,2023-08-06T16:04:39Z,JNO1236,C0051,E0006,JNO1236,Mazda CX-5,138000,0,147850,
A0049,2023-08-07T18:06:52Z,LPR234,C0095,E0011,LPR234,Chevrolet Captiva,130100,0,136500,
A0050,2023-08-09T22:11:18Z,NST345,C0043,E0005,NST345,Kia Sportage,120300,0,126000,
A0051,2023-08-10T12:13:31Z,PVW456,C0040,E0015,PVW456,Nissan X-trail,150500,0,157500,
A0052,2023-08-11T14:15:44Z,RCD123,C0007,E0001,RCD123,Mazda CX-9,180700,0,189000,
A0053,2023-08-12T16:17:57Z,TEF2347,C0071,E0013,TEF2347,Mitsubishi Xpander,91400,0,100000,
A0054,2023-08-13T18:20:10Z,VGH345,C0034,E0002,VGH345,Chevrolet Traverse,160100,0,168000,
A0055,2023-08-14T20:22:23Z,XIJ4568,C0058,E0003,XIJ4568,Kia Seltos,115900,0,121600,
A0056,2023-08-15T22:24:36Z,ZLM567,C0020,E0010,ZLM567,Honda Odyssey,160500,0,169500,
A0057,2023-08-17T00:26:49Z,BNO678,C0018,E0004,BNO678,Mitsubishi Grandis,140700,0,151800,
A0058,2023-08-18T02:29:02Z,DQR7899,C0001,E0009,DQR7899,Hyundai Kona,123900,0,128000,
A0059,2023-08-19T04:31:15Z,FST901,C0073,E0012,FST901,Mitsubishi ASX,130200,0,136500,
A0060,2023-08-21T08:35:41Z,HUV012,C0039,E0006,HUV012,Nissan X-Trail,150400,0,160000,
A0061,2023-08-22T10:37:54Z,JWX123,C0062,E0014,JWX123,Mazda CX-9,180600,0,189000,
A0062,2023-08-26T18:46:46Z,LZY234,C0085,E0008,LZY234,Ford Explorer,170800,0,182100,
A0063,2023-08-27T20:48:59Z,NAB345,C0048,E0011,NAB345,Chevrolet Traverse,160000,0,167700,
A0064,2023-08-28T22:51:12Z,PDE4560,C0024,E0005,PDE4560,Mercedes-Benz C200,259900,0,275000,
A0065,2023-08-30T00:53:25Z,RGH567,C0014,E0015,RGH567,Honda Odyssey,160000,0,168800,
A0066,2023-08-31T02:55:38Z,TIJ6781,C0097,E0001,TIJ6781,BMW 3 Series,248800,0,265000,
A0067,2023-09-01T04:57:51Z,VLM789,C0042,E0013,VLM789,Honda CR-V,140000,0,158800,
A0068,2023-09-03T09:02:17Z,XNO901,C0024,E0005,XNO901,Mitsubishi ASX,130000,0,136500,
A0069,2023-09-04T11:04:30Z,ZQR0122,C0066,E0015,ZQR0122,Audi A4,206500,0,217000,
A0070,2023-09-06T15:08:56Z,BST123,C0097,E0001,BST123,Mazda CX-9,180000,0,189000,
A0071,2023-09-08T19:13:22Z,DUV234,C0042,E0013,DUV234,Ford Explorer,170000,0,178000,
A0072,2023-09-10T23:17:48Z,FXY345,C0033,E0002,FXY345,Chevrolet Traverse,160000,0,168000,
A0073,2023-09-12T01:20:01Z,HBC4563,C0052,E0003,HBC4563,Volvo XC40,241500,0,270000,
A0074,2023-09-13T03:22:14Z,JEF567,C0064,E0010,JEF567,Honda Odyssey,160000,0,168000,
A0075,2023-09-14T05:24:27Z,LGH6784,C0087,E0004,LGH6784,Peugeot 3008,150900,0,160000,
A0076,2023-09-15T12:34:56Z,NIJ789,C0045,E0009,NIJ789,Honda Civic,85000,0,89250,
A0077,2023-09-16T23:45:12Z,PKL901,C0022,E0012,PKL901,Toyota Camry,90000,0,94500,
A0078,2023-09-18T10:11:22Z,RNO012,C0015,E0006,RNO012,Nissan Almera,80000,0,84000,
A0079,2023-09-19T14:15:16Z,TQR123,C0037,E0014,TQR123,Mazda 3,110000,0,115500,
A0080,2023-09-20T18:19:10Z,VST234,C0046,E0008,VST234,Ford Focus,100000,0,105000,
A0081,2023-09-22T07:23:04Z,WUV345,C0026,E0011,WUV345,Chevrolet Cruze,95000,0,99750,
A0082,2023-09-23T21:26:58Z,YBC456,C0008,E0005,YBC456,Kia Forte,85000,0,89250,
A0083,2023-09-25T08:30:52Z,ZDE5675,C0070,E0015,ZDE5675,Subaru XV,117800,0,123050,
A0084,2023-09-26T13:34:46Z,JKT567,C0054,E0001,JKT567,Mitsubishi Lancer,90000,0,94500,
A0085,2023-09-27T19:38:40Z,RQZ1230,C0060,E0013,RQZ1230,Renault Captur,105300,0,111000,
A0086,2023-09-29T06:42:34Z,BNG789,C0020,E0002,BNG789,Mazda 6,140000,0,147000,
A0087,2023-09-30T20:46:28Z,XYP4567,C0013,E0004,XYP4567,Toyota Yaris,70940,0,75000,
A0088,2023-10-02T07:50:22Z,MVC901,C0002,E0009,MVC901,Perodua Bezza,42550,0,47000,
A0089,2023-10-03T12:54:16Z,LGH2345,C0057,E0012,LGH2345,Toyota Avanza,73800,0,76700,
A0090,2023-10-04T18:58:10Z,WFD678,C0044,E0006,WFD678,Perodua Myvi,41200,0,44000,
A0091,2023-10-06T05:02:04Z,ZTR3456,C0022,E0014,ZTR3456,Honda Civic,109000,0,115900,
A0092,2023-10-07T19:05:58Z,HJK1026,C0016,E0008,HJK1026,Ford Ranger,90900,0,98500,
A0093,2023-10-09T06:09:52Z,NML5678,C0054,E0011,NML5678,Nissan Almera,80000,0,85300,
A0094,2023-10-10T11:13:46Z,CDE304,C0050,E0005,CDE304,Mazda CX5,132000,0,140000,
A0095,2023-10-11T17:17:40Z,VBN6789,C0026,E0015,VBN6789,Hyundai Kona,115000,0,132000,
A0096,2023-10-13T04:21:34Z,QWE405,C0009,E0001,QWE405,Kia Picanto,50000,0,56250,
A0097,2023-10-14T18:25:28Z,ASD1237,C0079,E0013,ASD1237,Isuzu D-Max,88600,0,92000,
A0098,2023-10-16T12:00:21Z,YUI607,C0003,E0002,YUI607,Honda Jazz,72800,0,73900,
A0099,2023-10-20T13:14:15Z,OPR7890,C0058,E0003,OPR7890,Toyota Vios,74200,0,76500,
A0100,2023-10-21T08:50:55Z,GFD908,C0020,E0010,GFD908,Perodua Kancil,5000,0,5200,
